id,scientific name,english name,hindi name,family,tree_class
296,Morus australis,Common mulberry,NA,Moraceae,Fruiting tree
297,Morus alba,White Mulberry,Shahtoot,Moraceae,Fruiting tree
298,Muntingia calabura,Singapore Cherry,NA,Muntingiaceae,Fruiting tree
299,Murraya koenigii,Curry Leaf,Kari patta,Rutaceae,Ornamental tree
300,Murraya paniculata,Orange Jasmine,Kamini,Rutaceae,Flowering tree
301,Myristica fragrans,Nutmeg,Jayaphal,Myristicaceae,Fruiting tree
302,Myrtus communis,True Myrtle,Baragasha,Myrtaceae,Ornamental tree
303,Neolamarckia cadamba,Burflower Tree,Kadamb,Rubiaceae,Avenue tree
304,Nyctanthes arbo-tristis,Queen of the night,Paarijat,Oleaceae,Ornamental tree
305,Ochna integerrima,Mickey Mouse plant,Ramdhan champa,Ochnaceae,Ornamental tree
306,Olea dioica,Rose Sandalwood,NA,Oleaceae,Medicinal tree
307,Olea europaea,Olive tree,NA,Oleaceae,Avenue tree
308,Oroxylum indicum,Indian Trumpet Flower,Bhut-vriksha,Bignoniaceae,Medicinal tree
309,Pachira aquatica,Malabar chestnut tree,NA,Malvaceae,Ornamental tree
310,Pachypodium lamerei,Madagascar Palm,NA,Apocynaceae,Ornamental tree
313,Parkia biglandulosa,Badminton Ball Tree,ChendulKa jhar,Leguminosae,Avenue tree
314,Parkinsonia aculeata,Jerusalem thorn,Ram babool,Leguminosae,Ornamental tree
315,Parmentiera cereifera,Candle tree,NA,Bignoniaceae,Ornamental tree
316,Peltophorum africanum,African Wattle,NA,Leguminosae,Avenue tree
317,Peltophorum dubium,Yellow Poinciana,NA,Leguminosae,Avenue tree
318,Peltophorum pterocarpum,Copperpod,Peela gulmohar,Leguminosae,Avenue tree
319,Persea americana,Avocado,NA,Lauraceae,Fruiting tree
320,Phoenix dactylifera,Date Palm,Khajur,Arecaceae,Palms
321,Phoenix sylvestris,Indian Date Palm,Khajur,Arecaceae,Palms
322,Phyllanthus acidus,Star Gooseberry,Harfarauri,Phyllanthaceae,Fruiting tree
323,Phyllanthus emblica,Indian gooseberry,Amla,Euphorbiaceae,Medicinal tree
324,Pimenta dioica,All spice,NA,Lauraceae,Ornamental tree
325,Pinus roxburghii,Pine,NA,Pinaceae,Ornamental tree
326,Piscidia piscipula,Florida fish poison tree,NA,Fabaceae,Ornamental tree
327,Pithecellobium dulce,Sweet tamarind,Jangal Jalebi,Mimosaceae,Fruiting tree
328,Platycladus orientalis,Oriental thuja,Mayurpankhi,Cupressaceae,Ornamental tree
329,Plumeria alba,White Frangipani,Champa,Apocynaceae,Ornamental tree
330,Plumeria rubra,Red Frangipani,Champa,Apocynaceae,Ornamental tree
331,Podocarpus nerifolius,Brown Pine,NA,Podocarpaceae,Ornamental tree
332,Polyalthia longifolia,Mast Tree,Ashok,Annonaceae,Ornamental tree
333,Pongamia pinnata,Pongam Tree,Karanj,Fabaceae,Avenue tree
334,Populus alba,Silver leaf poplar,NA,Salicaceae,Avenue tree
335,Populus ciliata,Himalayan Poplar,Chalun, Ban peepal,Salicaceae
336,Populus nigra,Black Poplar,Safeda,Salicaceae,Avenue tree
337,Prosopis chilensis,Chilean Mesquite,NA,Leguminosae,Ornamental tree
338,Prosopis cineraria,Indian Mesquite,Khejri,Leguminosae,Medicinal tree
339,Prosopis juliflora,Algaroba,Junglee kikar,Leguminosae,Wild tree
340,Pseudobombax ellipticum,Shaving brush Tree,NA,Malvaceae,Ornamental tree
341,Psidium guajava,Guava,Amrood,Myrtaceae,Fruiting tree
342,Pterocarpus marsupium,Indian Kino tree,Beeja Patta,Leguminosae,Avenue tree
343,Pterospermum xylocarpum,Tada,Muchkunda,Malvaceae,Avenue tree
344,Pterospermum acerifolium,Maple leaved Bayur tree,Kanak Champa,Malvaceae,Avenue tree
345,Pterospermum suberifolium,Cork leaved Bayur tree,Muchkunda,Malvaceae,Avenue tree
346,Pterygota alata,Buddha's coconut tree,Narikel,Malvaceae,Avenue tree
347,Punica granatum,Pomogranate,Anar,Lythraceae,Fruiting tree
348,Putranjiva roxburghii,Putranjiva,Putijia,Putranjivaceae,Avenue tree
349,Ravenala madagascariensis,Traveller's Palm,NA,Strelitziaceae,Ornamental tree
351,Roystonea regia,Royal Bottle Palm,NA,Arecaceae,Palms
352,Salix tetrasperma,Indian Willow tree,Bod,Salicaceae,Medicinal tree
353,Salvadora persica,Toothbrush Tree,Meswak,Salvadoraceae,Medicinal tree
354,Santalum album,Sandalwood,Chandan,Santalaceae,Medicinal tree
355,Sapindus mukorossi,Indian Soapberry,Reetha,Sapindaceae,Medicinal tree
356,Sapindus trifoliatus,Soapberry,Ritha,Sapindaceae,Medicinal tree
357,Sapindus emarginatus,Notched leaf soapberry,Reetha,Sapindaceae,Medicinal tree
358,Saraca asoka,Sita Ashok,Sita Ashok,Leguminosae,Avenue tree
